# 2026-07-31T00:14:08-04:00 host=c29 ITERS=50 int32-guard patch of 268657-resume  PREPCSV,file,n,D,stage,variant,prep_host_ms,upload_ms,kernel_ms,amort_applies
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/heis_22_5.txt,4194304,43,spmv,gopt,354.047,12.307,0.151777,2414
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/heis_22_5.txt,4194304,43,spmv,csr_zskip,1781.515,12.022,0.163380,10978
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/heis_22_5.txt,4194304,43,spmv,cusparse_csr,442.279,41.396,0.877933,551
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/heis_22_5.txt,4194304,43,spmspm,ours_flat,16.441,1.247,24.498896,1
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/heis_22_5.txt,4194304,43,spmspm,ours_sym,7.821,3.284,-1.000000,-1
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/heis_22_5.txt,4194304,43,spmspm,ours_sym,7.821,3.284,10.892618,1
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/heis_22_6.txt,4194304,43,spmv,didx,300.072,7.635,0.118355,2600
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/heis_22_6.txt,4194304,43,spmv,stream,0.001,20.014,0.248213,81
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/heis_22_6.txt,4194304,43,spmv,gopt,356.423,12.258,0.151716,2430
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/heis_22_6.txt,4194304,43,spmv,csr_zskip,1798.849,12.070,0.161663,11202
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/heis_22_6.txt,4194304,43,spmv,cusparse_csr,443.220,41.277,0.876475,553
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/heis_22_6.txt,4194304,43,spmspm,ours_flat,16.638,1.394,24.583376,1
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/heis_22_6.txt,4194304,43,spmspm,ours_sym,8.554,3.336,-1.000000,-1
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/heis_22_6.txt,4194304,43,spmspm,ours_sym,8.554,3.336,10.470855,1
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/heis_24_5.txt,16777216,47,spmv,didx,1350.361,31.679,0.528668,2614
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/heis_24_5.txt,16777216,47,spmv,stream,0.004,87.185,1.120755,78
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/heis_24_5.txt,16777216,47,spmv,gopt,1689.340,50.018,0.600843,2895
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/heis_24_5.txt,16777216,47,spmv,csr_zskip,7543.187,50.620,0.739026,10275
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/heis_24_5.txt,16777216,47,spmv,cusparse_csr,2088.411,177.694,4.156679,545
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/heis_24_5.txt,16777216,47,spmspm,ours_flat,77.536,5.186,122.781960,1
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/heis_24_5.txt,16777216,47,spmspm,ours_sym,40.546,15.711,-1.000000,-1
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/heis_24_5.txt,16777216,47,spmspm,ours_sym,40.546,15.711,55.109581,1
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/heis_24_6.txt,16777216,47,spmv,didx,1353.142,31.185,0.529335,2615
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/heis_24_6.txt,16777216,47,spmv,stream,0.005,85.456,1.121432,76
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/heis_24_6.txt,16777216,47,spmv,gopt,1662.350,49.276,0.600780,2849
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/heis_24_6.txt,16777216,47,spmv,csr_zskip,7549.707,51.190,0.735695,10332
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/heis_24_6.txt,16777216,47,spmv,cusparse_csr,2040.467,176.789,4.162940,533
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/heis_24_6.txt,16777216,47,spmspm,ours_flat,84.856,5.297,123.131004,1
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/heis_24_6.txt,16777216,47,spmspm,ours_sym,36.546,33.941,-1.000000,-1
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/heis_24_6.txt,16777216,47,spmspm,ours_sym,36.546,33.941,55.299072,1
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/tfim_20_5.txt,1048576,41,spmv,didx,121.193,3.593,0.058381,2137
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/tfim_20_5.txt,1048576,41,spmv,stream,0.002,4.981,0.067327,74
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/tfim_20_5.txt,1048576,41,spmv,gopt,88.487,4.187,0.054979,1686
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/tfim_20_5.txt,1048576,41,spmv,csr_zskip,548.614,5.558,0.082552,6713
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/tfim_20_5.txt,1048576,41,spmv,cusparse_csr,102.177,10.527,0.203246,555
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/tfim_20_5.txt,1048576,41,spmspm,ours_flat,3.918,0.544,4.763840,1
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/tfim_20_5.txt,1048576,41,spmspm,hm_atomic,456.149,6.110,7.720071,60
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/tfim_20_5.txt,1048576,41,spmspm,ours_sym,1.864,1.040,-1.000000,-1
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/tfim_20_5.txt,1048576,41,spmspm,ours_sym,1.864,1.040,2.039856,1
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/tfim_22_5.txt,4194304,45,spmv,didx,565.567,14.440,0.249684,2323
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/tfim_22_5.txt,4194304,45,spmv,stream,0.003,20.453,0.265742,77
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/tfim_22_5.txt,4194304,45,spmv,gopt,498.790,15.917,0.198113,2598
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/tfim_22_5.txt,4194304,45,spmv,csr_zskip,2263.403,23.540,0.437978,5222
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/tfim_22_5.txt,4194304,45,spmv,cusparse_csr,372.542,41.513,0.903383,458
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/tfim_22_5.txt,4194304,45,spmspm,ours_flat,17.353,1.431,26.311989,1
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/tfim_22_5.txt,4194304,45,spmspm,ours_sym,8.150,3.484,-1.000000,-1
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/tfim_22_5.txt,4194304,45,spmspm,ours_sym,8.150,3.484,12.039289,1
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/tfim_24_5.txt,16777216,49,spmv,didx,2534.965,60.579,1.165126,2228
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/tfim_24_5.txt,16777216,49,spmv,stream,0.008,88.879,1.181531,75
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/tfim_24_5.txt,16777216,49,spmv,gopt,2265.634,66.615,0.814892,2862
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/tfim_24_5.txt,16777216,49,spmv,csr_zskip,9471.889,97.874,1.774703,5392
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/tfim_24_5.txt,16777216,49,spmv,cusparse_csr,2087.523,180.504,4.273367,531
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/tfim_24_5.txt,16777216,49,spmspm,ours_flat,80.520,5.358,131.044998,1
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/tfim_24_5.txt,16777216,49,spmspm,ours_sym,38.665,53.863,-1.000000,-1
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/tfim_24_5.txt,16777216,49,spmspm,ours_sym,38.665,53.863,58.715431,2
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/BH_24_8.txt,16777216,155,spmv,didx,5272.301,72.336,2.014630,2653
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/BH_24_8.txt,16777216,155,spmv,stream,0.010,275.085,3.758032,73
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/BH_24_8.txt,16777216,155,spmv,gopt,6563.526,168.580,1.879948,3581
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/BH_24_8.txt,16777216,155,spmv,csr_zskip,20193.589,118.023,2.873206,7069
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/BH_24_8.txt,16777216,155,spmv,cusparse_csr_64i,12111.547,833.875,16.567455,781
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/O2_20_5.txt,1048576,3359,spmv,didx,3479.434,35.293,2.257343,1557
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/O2_20_5.txt,1048576,3359,spmv,stream,0.009,325.204,4.731514,69
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/O2_20_5.txt,1048576,3359,spmv,gopt,4165.988,113.931,1.781013,2403
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/O2_20_5.txt,1048576,3359,spmv,csr_zskip,6836.557,48.604,1.643082,4190
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/O2_20_5.txt,1048576,3359,spmv,cusparse_csr_64i,16350.312,979.931,19.011005,912
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/O2_20_8.txt,1048576,3359,spmv,didx,3454.872,35.733,2.252416,1550
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/O2_20_8.txt,1048576,3359,spmv,stream,0.009,325.588,4.738936,69
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/O2_20_8.txt,1048576,3359,spmv,gopt,4160.370,112.662,1.784215,2395
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/O2_20_8.txt,1048576,3359,spmv,csr_zskip,6850.256,48.559,1.666899,4139
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/O2_20_8.txt,1048576,3359,spmv,cusparse_csr_64i,16360.276,976.963,19.129709,906
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_suitesparse/ecology2.txt,999999,7,spmv,didx,14.470,1.081,0.011055,1407
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_suitesparse/ecology2.txt,999999,7,spmv,stream,0.000,0.888,0.011697,76
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_suitesparse/ecology2.txt,999999,7,spmv,gopt,12.467,0.776,0.009910,1336
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_suitesparse/ecology2.txt,999999,7,spmv,csr_zskip,124.557,1.563,0.020447,6168
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_suitesparse/ecology2.txt,999999,7,spmv,cusparse_csr,11.477,2.590,0.044918,313
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_suitesparse/ecology2.txt,999999,7,spmspm,ours_flat,0.674,0.131,0.123220,7
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_suitesparse/ecology2.txt,999999,7,spmspm,hm_atomic,15.083,1.613,0.213272,78
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_suitesparse/ecology2.txt,999999,7,spmspm,ours_sym,0.420,0.193,-1.000000,-1
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_suitesparse/ecology2.txt,999999,7,spmspm,ours_sym,0.420,0.193,0.057327,11
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_suitesparse/atmosmodd.txt,1270432,7,spmv,didx,25.944,1.779,0.025979,1067
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_suitesparse/atmosmodd.txt,1270432,7,spmv,stream,0.001,1.191,0.015633,76
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_suitesparse/atmosmodd.txt,1270432,7,spmv,gopt,26.663,1.368,0.015718,1783
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_suitesparse/atmosmodd.txt,1270432,7,spmv,csr_zskip,193.140,2.566,0.032300,6059
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_suitesparse/atmosmodd.txt,1270432,7,spmv,cusparse_csr,22.720,3.042,0.052310,492
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_suitesparse/atmosmodd.txt,1270432,7,spmspm,ours_flat,1.428,0.142,0.187231,8
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_suitesparse/atmosmodd.txt,1270432,7,spmspm,hm_atomic,29.305,1.657,0.303007,102
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_suitesparse/atmosmodd.txt,1270432,7,spmspm,ours_sym,0.851,0.175,-1.000000,-1
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_suitesparse/atmosmodd.txt,1270432,7,spmspm,ours_sym,0.851,0.175,0.082398,12
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_suitesparse/Lin.txt,256000,7,spmv,didx,4.371,0.397,0.005620,848
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_suitesparse/Lin.txt,256000,7,spmv,stream,0.000,0.246,0.005041,49
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_suitesparse/Lin.txt,256000,7,spmv,gopt,3.058,0.245,0.005559,594
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_suitesparse/Lin.txt,256000,7,spmv,csr_zskip,35.041,0.749,0.006200,5772
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_suitesparse/Lin.txt,256000,7,spmv,cusparse_csr,2.602,0.992,0.022259,161
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_suitesparse/Lin.txt,256000,7,spmspm,ours_flat,0.192,0.129,0.035795,9
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_suitesparse/Lin.txt,256000,7,spmspm,hm_atomic,1.171,0.397,0.046193,34
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_suitesparse/Lin.txt,256000,7,spmspm,ours_sym,0.113,0.104,-1.000000,-1
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_suitesparse/Lin.txt,256000,7,spmspm,ours_sym,0.113,0.104,0.017363,12
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/BH_20_7.txt,1048576,127,spmv,didx,231.631,4.105,0.087364,2698
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/BH_20_7.txt,1048576,127,spmv,gopt,301.536,9.511,0.129703,2398
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/BH_20_7.txt,1048576,127,spmv,cusparse_csr,473.216,7.097,0.130316,3686
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/BH_20_7.txt,1048576,127,spmspm,ours_flat,43.040,2.008,44.567867,1
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/BH_20_7.txt,1048576,127,spmspm,ours_sym,14.634,12.473,-1.000000,-1
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/BH_20_7.txt,1048576,127,spmspm,ours_sym,14.634,12.473,22.354748,1
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/BH_20_7.txt,1048576,127,spmv,didx,207.682,4.043,0.086999,2434
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/BH_20_7.txt,1048576,127,spmv,gopt,175.802,9.598,0.129393,1433
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/BH_20_7.txt,1048576,127,spmv,cusparse_csr,335.473,7.127,0.129761,2640
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/BH_20_7.txt,1048576,127,spmspm,ours_flat,32.471,1.888,44.524899,1
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/BH_20_7.txt,1048576,127,spmspm,ours_sym,12.208,12.259,-1.000000,-1
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/BH_20_7.txt,1048576,127,spmspm,ours_sym,12.208,12.259,22.272959,1
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/fermi_16_5.txt,65536,29,spmv,didx,2.200,0.172,0.004689,506
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/fermi_16_5.txt,65536,29,spmv,didx_sym,0.925,0.280,0.004676,258
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/fermi_16_5.txt,65536,29,spmv,gopt,2.873,0.202,0.010752,286
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/fermi_16_5.txt,65536,29,spmv,cusparse_csr,5.874,0.537,0.015228,421
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/fermi_16_5.txt,65536,29,spmspm,ours_flat,0.243,0.118,0.129615,3
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/fermi_16_5.txt,65536,29,spmspm,hm_atomic,4.880,0.551,0.174814,31
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/fermi_16_5.txt,65536,29,spmspm,ours_sym,0.080,0.141,-1.000000,-1
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/fermi_16_5.txt,65536,29,spmspm,ours_sym,0.080,0.141,0.068733,3
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/heis_16_5.txt,65536,31,spmv,didx,2.344,0.183,0.004796,527
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/heis_16_5.txt,65536,31,spmv,didx_sym,0.920,0.288,0.005025,240
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/heis_16_5.txt,65536,31,spmv,gopt,2.989,0.214,0.011593,276
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/heis_16_5.txt,65536,31,spmv,cusparse_csr,6.247,0.534,0.015661,433
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/heis_16_5.txt,65536,31,spmspm,ours_flat,0.279,0.137,0.147292,3
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/heis_16_5.txt,65536,31,spmspm,hm_atomic,5.832,0.543,0.203679,31
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/heis_16_5.txt,65536,31,spmspm,ours_sym,0.085,0.148,-1.000000,-1
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/heis_16_5.txt,65536,31,spmspm,ours_sym,0.085,0.148,0.077481,3
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/heis_18_5.txt,262144,35,spmv,didx,9.013,0.609,0.008772,1097
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/heis_18_5.txt,262144,35,spmv,didx_sym,4.844,1.326,0.008324,741
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/heis_18_5.txt,262144,35,spmv,gopt,10.896,0.998,0.011860,1003
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/heis_18_5.txt,262144,35,spmv,cusparse_csr,26.093,1.220,0.025278,1081
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/heis_18_5.txt,262144,35,spmspm,ours_flat,0.908,0.200,0.825045,1
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/heis_18_5.txt,262144,35,spmspm,hm_atomic,32.972,1.736,1.406644,25
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/heis_18_5.txt,262144,35,spmspm,ours_sym,0.365,0.243,-1.000000,-1
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/heis_18_5.txt,262144,35,spmspm,ours_sym,0.365,0.243,0.398686,2
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/heis_20_5.txt,1048576,39,spmv,didx,55.795,2.092,0.032145,1801
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/heis_20_5.txt,1048576,39,spmv,didx_sym,20.795,5.196,0.031639,821
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/heis_20_5.txt,1048576,39,spmv,gopt,48.454,3.293,0.044702,1158
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/heis_20_5.txt,1048576,39,spmv,cusparse_csr,116.323,3.459,0.059571,2011
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/heis_20_5.txt,1048576,39,spmspm,ours_flat,3.694,0.421,4.393620,1
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/heis_20_5.txt,1048576,39,spmspm,hm_atomic,166.851,5.886,7.309240,24
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/heis_20_5.txt,1048576,39,spmspm,ours_sym,1.709,1.860,-1.000000,-1
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/heis_20_5.txt,1048576,39,spmspm,ours_sym,1.709,1.860,2.167974,2
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/heis_20_6.txt,1048576,39,spmv,didx,54.674,2.058,0.031924,1777
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/heis_20_6.txt,1048576,39,spmv,didx_sym,21.792,5.249,0.031601,856
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/heis_20_6.txt,1048576,39,spmv,gopt,48.513,3.258,0.044548,1162
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/heis_20_6.txt,1048576,39,spmv,cusparse_csr,112.500,3.507,0.059180,1960
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/heis_20_6.txt,1048576,39,spmspm,ours_flat,3.701,0.446,4.403414,1
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/heis_20_6.txt,1048576,39,spmspm,hm_atomic,166.339,5.907,7.313086,24
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/heis_20_6.txt,1048576,39,spmspm,ours_sym,1.713,0.755,-1.000000,-1
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/heis_20_6.txt,1048576,39,spmspm,ours_sym,1.713,0.755,2.186515,1
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/maxcut_16_5.txt,65536,1,spmv,didx,0.229,0.054,0.003081,92
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/maxcut_16_5.txt,65536,1,spmv,didx_sym,0.123,0.055,0.003039,59
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/maxcut_16_5.txt,65536,1,spmv,gopt,0.077,0.038,0.003055,37
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/maxcut_16_5.txt,65536,1,spmv,cusparse_csr,0.215,0.401,0.018560,33
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/maxcut_16_5.txt,65536,1,spmspm,ours_flat,0.040,0.028,0.004486,15
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/maxcut_16_5.txt,65536,1,spmspm,hm_atomic,0.175,0.077,0.005468,46
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/maxcut_16_5.txt,65536,1,spmspm,ours_sym,0.026,0.027,-1.000000,-1
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/maxcut_16_5.txt,65536,1,spmspm,ours_sym,0.026,0.027,0.004376,12
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/maxcut_18_5.txt,262144,1,spmv,didx,1.082,0.207,0.003702,348
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/maxcut_18_5.txt,262144,1,spmv,didx_sym,0.314,0.212,0.003654,144
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/maxcut_18_5.txt,262144,1,spmv,gopt,0.454,0.108,0.003313,170
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/maxcut_18_5.txt,262144,1,spmv,cusparse_csr,1.093,0.515,0.017191,94
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/maxcut_18_5.txt,262144,1,spmspm,ours_flat,0.152,0.063,0.004758,45
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/maxcut_18_5.txt,262144,1,spmspm,hm_atomic,0.507,0.194,0.006242,112
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/maxcut_18_5.txt,262144,1,spmspm,ours_sym,0.096,0.065,-1.000000,-1
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/maxcut_18_5.txt,262144,1,spmspm,ours_sym,0.096,0.065,0.004732,34
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/maxcut_20_5.txt,1048576,1,spmv,didx,2.873,0.370,0.006567,494
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/maxcut_20_5.txt,1048576,1,spmv,didx_sym,1.462,0.368,0.006660,275
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/maxcut_20_5.txt,1048576,1,spmv,gopt,1.259,0.169,0.004932,290
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/maxcut_20_5.txt,1048576,1,spmv,cusparse_csr,2.915,0.782,0.029736,124
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/maxcut_20_5.txt,1048576,1,spmspm,ours_flat,0.597,0.098,0.007290,95
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/maxcut_20_5.txt,1048576,1,spmspm,hm_atomic,2.735,0.467,0.010528,304
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/maxcut_20_5.txt,1048576,1,spmspm,ours_sym,0.376,0.093,-1.000000,-1
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/maxcut_20_5.txt,1048576,1,spmspm,ours_sym,0.376,0.093,0.007260,64
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/O2_16_5.txt,65536,1243,spmv,didx,56.345,1.123,0.035041,1640
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/O2_16_5.txt,65536,1243,spmv,gopt,66.615,3.871,0.312915,225
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/O2_16_5.txt,65536,1243,spmv,cusparse_csr,247.295,1.778,0.033371,7464
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/O2_16_5.txt,65536,1243,spmspm,ours_flat,1210.437,3.310,154.909058,8
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/O2_16_5.txt,65536,1243,spmspm,ours_sym,54.155,4.954,-1.000000,-1
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/O2_16_5.txt,65536,1243,spmspm,ours_sym,54.155,4.954,73.505089,1
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/O2_16_7.txt,65536,1243,spmv,didx,56.028,1.079,0.034902,1636
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/O2_16_7.txt,65536,1243,spmv,gopt,66.475,3.863,0.312843,225
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/O2_16_7.txt,65536,1243,spmv,cusparse_csr,247.227,1.776,0.033762,7375
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/O2_16_7.txt,65536,1243,spmspm,ours_flat,1215.075,3.199,155.198471,8
