# 2026-08-02T20:10:34-04:00 A100 measured T(N)  AMORTCSV,file,variant,N,total_ms
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/heis_20_5.txt,didx_sym,10,59.868
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/heis_20_5.txt,didx_sym,100,64.706
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/heis_20_5.txt,didx_sym,1000,113.623
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/heis_20_5.txt,didx_sym,10000,610.413
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/heis_20_5.txt,cusparse,1,279.577
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/heis_20_5.txt,cusparse,10,276.774
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/heis_20_5.txt,cusparse,100,284.659
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/heis_20_5.txt,cusparse,1000,366.744
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/heis_20_5.txt,cusparse,10000,1182.265
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/heis_20_5.txt,diaq_fp32,1,13.395
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/heis_20_5.txt,diaq_fp32,10,21.177
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/heis_20_5.txt,diaq_fp32,100,42.690
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/heis_20_5.txt,diaq_fp32,1000,260.229
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/heis_20_5.txt,diaq_fp32,10000,2414.617
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/heis_20_6.txt,didx,1,129.321
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/heis_20_6.txt,didx,10,130.869
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/heis_20_6.txt,didx,100,135.568
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/heis_20_6.txt,didx,1000,187.800
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/heis_20_6.txt,didx,10000,713.053
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/heis_20_6.txt,didx_sym,1,59.320
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/heis_20_6.txt,didx_sym,10,59.713
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/heis_20_6.txt,didx_sym,100,64.783
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/heis_20_6.txt,didx_sym,1000,113.933
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/heis_20_6.txt,didx_sym,10000,610.460
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/heis_20_6.txt,cusparse,1,280.181
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/heis_20_6.txt,cusparse,10,277.202
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/heis_20_6.txt,cusparse,100,285.485
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/heis_20_6.txt,cusparse,1000,366.405
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/heis_20_6.txt,cusparse,10000,1176.664
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/heis_20_6.txt,diaq_fp32,1,13.691
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/heis_20_6.txt,diaq_fp32,10,21.436
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/heis_20_6.txt,diaq_fp32,100,42.956
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/heis_20_6.txt,diaq_fp32,1000,260.444
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/heis_20_6.txt,diaq_fp32,10000,2413.982
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/maxcut_16_5.txt,didx,1,0.355
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/maxcut_16_5.txt,didx,10,0.315
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/maxcut_16_5.txt,didx,100,0.643
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/maxcut_16_5.txt,didx,1000,3.907
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/maxcut_16_5.txt,didx,10000,36.204
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/maxcut_16_5.txt,didx_sym,1,0.304
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/maxcut_16_5.txt,didx_sym,10,0.326
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/maxcut_16_5.txt,didx_sym,100,0.668
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/maxcut_16_5.txt,didx_sym,1000,4.154
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/maxcut_16_5.txt,didx_sym,10000,39.341
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/maxcut_16_5.txt,cusparse,1,5.732
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/maxcut_16_5.txt,cusparse,10,0.574
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/maxcut_16_5.txt,cusparse,100,2.539
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/maxcut_16_5.txt,cusparse,1000,22.564
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/maxcut_16_5.txt,cusparse,10000,222.715
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/maxcut_16_5.txt,diaq_fp32,1,0.087
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/maxcut_16_5.txt,diaq_fp32,10,0.107
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/maxcut_16_5.txt,diaq_fp32,100,0.448
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/maxcut_16_5.txt,diaq_fp32,1000,3.953
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/maxcut_16_5.txt,diaq_fp32,10000,39.227
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/maxcut_18_5.txt,didx,1,1.438
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/maxcut_18_5.txt,didx,10,1.416
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/maxcut_18_5.txt,didx,100,1.754
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/maxcut_18_5.txt,didx,1000,5.854
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/maxcut_18_5.txt,didx,10000,47.501
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/maxcut_18_5.txt,didx_sym,1,1.161
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/maxcut_18_5.txt,didx_sym,10,1.193
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/maxcut_18_5.txt,didx_sym,100,1.621
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/maxcut_18_5.txt,didx_sym,1000,5.971
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/maxcut_18_5.txt,didx_sym,10000,49.371
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/maxcut_18_5.txt,cusparse,1,7.415
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/maxcut_18_5.txt,cusparse,10,1.870
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/maxcut_18_5.txt,cusparse,100,3.709
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/maxcut_18_5.txt,cusparse,1000,23.467
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/maxcut_18_5.txt,cusparse,10000,220.946
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/maxcut_18_5.txt,diaq_fp32,1,0.337
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/maxcut_18_5.txt,diaq_fp32,10,0.353
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/maxcut_18_5.txt,diaq_fp32,100,0.796
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/maxcut_18_5.txt,diaq_fp32,1000,5.160
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/maxcut_18_5.txt,diaq_fp32,10000,48.763
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/maxcut_20_5.txt,didx,1,4.175
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/maxcut_20_5.txt,didx,10,4.131
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/maxcut_20_5.txt,didx,100,4.906
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/maxcut_20_5.txt,didx,1000,12.402
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/maxcut_20_5.txt,didx,10000,87.533
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/maxcut_20_5.txt,didx_sym,1,4.508
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/maxcut_20_5.txt,didx_sym,10,4.396
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/maxcut_20_5.txt,didx_sym,100,5.134
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/maxcut_20_5.txt,didx_sym,1000,12.963
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/maxcut_20_5.txt,didx_sym,10000,90.022
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/maxcut_20_5.txt,cusparse,1,11.275
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/maxcut_20_5.txt,cusparse,10,6.746
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/maxcut_20_5.txt,cusparse,100,9.030
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/maxcut_20_5.txt,cusparse,1000,42.997
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/maxcut_20_5.txt,cusparse,10000,382.704
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/maxcut_20_5.txt,diaq_fp32,1,1.013
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/maxcut_20_5.txt,diaq_fp32,10,0.934
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/maxcut_20_5.txt,diaq_fp32,100,1.798
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/maxcut_20_5.txt,diaq_fp32,1000,10.505
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/maxcut_20_5.txt,diaq_fp32,10000,97.659
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/O2c_16_5.txt,didx,1,135.365
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/O2c_16_5.txt,didx,10,134.855
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/O2c_16_5.txt,didx,100,142.518
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/O2c_16_5.txt,didx,1000,218.330
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/O2c_16_5.txt,didx,10000,974.710
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/O2c_16_5.txt,cusparse,1,338.289
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/O2c_16_5.txt,cusparse,10,337.495
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/O2c_16_5.txt,cusparse,100,342.766
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/O2c_16_5.txt,cusparse,1000,390.948
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/O2c_16_5.txt,cusparse,10000,871.881
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/O2c_16_5.txt,diaq_fp32,1,19.165
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/O2c_16_5.txt,diaq_fp32,10,38.582
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/O2c_16_5.txt,diaq_fp32,100,116.093
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/O2c_16_5.txt,diaq_fp32,1000,881.723
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/O2c_16_5.txt,diaq_fp32,10000,8645.819
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/O2c_20_5.txt,didx,1,7701.070
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/O2c_20_5.txt,didx,10,7739.135
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/O2c_20_5.txt,didx,100,8185.479
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/O2c_20_5.txt,didx,1000,12472.409
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/O2c_20_5.txt,didx,10000,55254.702
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/O2c_20_5.txt,cusparse,1,20164.659
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/O2c_20_5.txt,cusparse,10,20176.789
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/O2c_20_5.txt,cusparse,100,20324.000
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/O2c_20_5.txt,cusparse,1000,21730.317
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/O2c_20_5.txt,cusparse,10000,35849.811
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/O2c_20_5.txt,diaq_fp32,1,832.669
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/O2c_20_5.txt,diaq_fp32,10,1511.125
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/O2c_20_5.txt,diaq_fp32,100,2982.447
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/O2c_20_5.txt,diaq_fp32,1000,17739.226
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/O2c_20_5.txt,diaq_fp32,10000,165630.733
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/qmaxcut_16_4.txt,didx,1,2.878
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/qmaxcut_16_4.txt,didx,10,2.882
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/qmaxcut_16_4.txt,didx,100,3.397
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/qmaxcut_16_4.txt,didx,1000,8.897
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/qmaxcut_16_4.txt,didx,10000,64.059
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/qmaxcut_16_4.txt,didx_sym,1,1.846
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/qmaxcut_16_4.txt,didx_sym,10,1.906
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/qmaxcut_16_4.txt,didx_sym,100,2.478
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/qmaxcut_16_4.txt,didx_sym,1000,8.208
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/qmaxcut_16_4.txt,didx_sym,10000,66.018
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/qmaxcut_16_4.txt,cusparse,1,14.627
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/qmaxcut_16_4.txt,cusparse,10,10.522
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/qmaxcut_16_4.txt,cusparse,100,12.284
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/qmaxcut_16_4.txt,cusparse,1000,29.484
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/qmaxcut_16_4.txt,cusparse,10000,217.370
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/qmaxcut_16_4.txt,diaq_fp32,1,0.589
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/qmaxcut_16_4.txt,diaq_fp32,10,0.773
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/qmaxcut_16_4.txt,diaq_fp32,100,1.987
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/qmaxcut_16_4.txt,diaq_fp32,1000,14.205
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/qmaxcut_16_4.txt,diaq_fp32,10000,136.469
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/qmaxcut_18_4.txt,didx,1,13.125
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/qmaxcut_18_4.txt,didx,10,13.256
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/qmaxcut_18_4.txt,didx,100,14.306
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/qmaxcut_18_4.txt,didx,1000,25.437
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/qmaxcut_18_4.txt,didx,10000,136.708
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/qmaxcut_18_4.txt,didx_sym,1,8.253
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/qmaxcut_18_4.txt,didx_sym,10,8.356
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/qmaxcut_18_4.txt,didx_sym,100,9.341
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/qmaxcut_18_4.txt,didx_sym,1000,20.561
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/qmaxcut_18_4.txt,didx_sym,10000,132.655
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/qmaxcut_18_4.txt,cusparse,1,45.985
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/qmaxcut_18_4.txt,cusparse,10,42.946
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/qmaxcut_18_4.txt,cusparse,100,45.907
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/qmaxcut_18_4.txt,cusparse,1000,78.299
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/qmaxcut_18_4.txt,cusparse,10000,403.345
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/qmaxcut_18_4.txt,diaq_fp32,1,2.049
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/qmaxcut_18_4.txt,diaq_fp32,10,3.013
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/qmaxcut_18_4.txt,diaq_fp32,100,6.893
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/qmaxcut_18_4.txt,diaq_fp32,1000,45.900
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/qmaxcut_18_4.txt,diaq_fp32,10000,435.898
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/qmaxcut_20_4.txt,didx,1,84.603
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/qmaxcut_20_4.txt,didx,10,85.499
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/qmaxcut_20_4.txt,didx,100,90.668
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/qmaxcut_20_4.txt,didx,1000,145.537
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/qmaxcut_20_4.txt,didx,10000,694.853
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/qmaxcut_20_4.txt,didx_sym,1,36.475
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/qmaxcut_20_4.txt,didx_sym,10,36.615
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/qmaxcut_20_4.txt,didx_sym,100,43.080
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/qmaxcut_20_4.txt,didx_sym,1000,99.351
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/qmaxcut_20_4.txt,didx_sym,10000,670.631
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/qmaxcut_20_4.txt,cusparse,1,208.205
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/qmaxcut_20_4.txt,cusparse,10,205.605
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/qmaxcut_20_4.txt,cusparse,100,213.956
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/qmaxcut_20_4.txt,cusparse,1000,295.942
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/qmaxcut_20_4.txt,cusparse,10000,1116.824
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/qmaxcut_20_4.txt,diaq_fp32,1,8.646
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/qmaxcut_20_4.txt,diaq_fp32,10,12.504
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/qmaxcut_20_4.txt,diaq_fp32,100,26.194
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/qmaxcut_20_4.txt,diaq_fp32,1000,167.677
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/qmaxcut_20_4.txt,diaq_fp32,10000,1559.073
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/qmaxcutC_18_4.txt,didx,1,58.041
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/qmaxcutC_18_4.txt,didx,10,58.209
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/qmaxcutC_18_4.txt,didx,100,60.528
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/qmaxcutC_18_4.txt,didx,1000,83.920
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/qmaxcutC_18_4.txt,didx,10000,318.134
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/qmaxcutC_18_4.txt,didx_sym,1,25.706
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/qmaxcutC_18_4.txt,didx_sym,10,25.983
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/qmaxcutC_18_4.txt,didx_sym,100,28.464
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/qmaxcutC_18_4.txt,didx_sym,1000,51.453
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/qmaxcutC_18_4.txt,didx_sym,10000,283.211
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/qmaxcutC_18_4.txt,cusparse,1,108.406
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/qmaxcutC_18_4.txt,cusparse,10,105.459
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/qmaxcutC_18_4.txt,cusparse,100,110.552
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/qmaxcutC_18_4.txt,cusparse,1000,161.741
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/qmaxcutC_18_4.txt,cusparse,10000,673.317
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/qmaxcutC_18_4.txt,diaq_fp32,1,6.265
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/qmaxcutC_18_4.txt,diaq_fp32,10,9.979
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/qmaxcutC_18_4.txt,diaq_fp32,100,22.042
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/qmaxcutC_18_4.txt,diaq_fp32,1000,142.669
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/qmaxcutC_18_4.txt,diaq_fp32,10000,1352.999
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/qmaxcutK_18_4.txt,didx,1,11.101
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/qmaxcutK_18_4.txt,didx,10,11.208
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/qmaxcutK_18_4.txt,didx,100,11.894
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/qmaxcutK_18_4.txt,didx,1000,19.710
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/qmaxcutK_18_4.txt,didx,10000,97.248
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/qmaxcutK_18_4.txt,didx_sym,1,7.547
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/qmaxcutK_18_4.txt,didx_sym,10,7.325
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/qmaxcutK_18_4.txt,didx_sym,100,8.404
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/qmaxcutK_18_4.txt,didx_sym,1000,16.880
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/qmaxcutK_18_4.txt,didx_sym,10000,103.645
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/qmaxcutK_18_4.txt,cusparse,1,16.536
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/qmaxcutK_18_4.txt,cusparse,10,13.180
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/qmaxcutK_18_4.txt,cusparse,100,15.633
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/qmaxcutK_18_4.txt,cusparse,1000,43.014
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/qmaxcutK_18_4.txt,cusparse,10000,317.010
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/qmaxcutK_18_4.txt,diaq_fp32,1,2.015
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/qmaxcutK_18_4.txt,diaq_fp32,10,3.031
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/qmaxcutK_18_4.txt,diaq_fp32,100,6.694
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/qmaxcutK_18_4.txt,diaq_fp32,1000,43.480
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/qmaxcutK_18_4.txt,diaq_fp32,10000,413.116
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/qmaxcutR_18_3.txt,didx,1,5.222
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/qmaxcutR_18_3.txt,didx,10,5.107
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/qmaxcutR_18_3.txt,didx,100,5.775
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/qmaxcutR_18_3.txt,didx,1000,11.787
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/qmaxcutR_18_3.txt,didx,10000,72.325
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/qmaxcutR_18_3.txt,didx_sym,1,3.628
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/qmaxcutR_18_3.txt,didx_sym,10,3.592
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/qmaxcutR_18_3.txt,didx_sym,100,4.229
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/qmaxcutR_18_3.txt,didx_sym,1000,11.139
