matrix,kernel,metric,value
heis_16_5,void gather_flat_sym_kernel,smsp__sass_data_bytes_mem_shared_op_st.sum,962784
heis_16_5,void gather_flat_sym_kernel,smsp__sass_data_bytes_mem_shared_op_st.sum.per_second,14092271662.76
heis_16_5,cuda_spmv_dia,dram__bytes_read.sum,8132096
heis_16_5,cuda_spmv_dia,l1tex__data_bank_conflicts_pipe_lsu_mem_shared_op_ld.sum,0
heis_16_5,cuda_spmv_dia,l1tex__data_bank_conflicts_pipe_lsu_mem_shared_op_st.sum,0
heis_16_5,cuda_spmv_dia,l1tex__data_pipe_lsu_wavefronts_mem_shared.sum.pct_of_peak_sustained_elapsed,0.23
heis_16_5,cuda_spmv_dia,l1tex__t_bytes_pipe_lsu_mem_global_op_ld.sum,18546432
heis_16_5,cuda_spmv_dia,l1tex__t_requests_pipe_lsu_mem_global_op_red.sum,0
heis_16_5,cuda_spmv_dia,l1tex__t_sector_hit_rate.pct,36.98
heis_16_5,cuda_spmv_dia,launch__shared_mem_per_block_dynamic,0
heis_16_5,cuda_spmv_dia,launch__shared_mem_per_block_static,0
heis_16_5,cuda_spmv_dia,lts__t_sector_hit_rate.pct,29.76
heis_16_5,cuda_spmv_dia,smsp__sass_data_bytes_mem_shared_op_ld.sum,0
heis_16_5,cuda_spmv_dia,smsp__sass_data_bytes_mem_shared_op_ld.sum.per_second,0
heis_16_5,cuda_spmv_dia,smsp__sass_data_bytes_mem_shared_op_st.sum,0
heis_16_5,cuda_spmv_dia,smsp__sass_data_bytes_mem_shared_op_st.sum.per_second,0
tfim_16_5,hm_structured_sparse_matmul_kernel,dram__bytes_read.sum,178032640
tfim_16_5,hm_structured_sparse_matmul_kernel,l1tex__data_bank_conflicts_pipe_lsu_mem_shared_op_ld.sum,0
tfim_16_5,hm_structured_sparse_matmul_kernel,l1tex__data_bank_conflicts_pipe_lsu_mem_shared_op_st.sum,0
tfim_16_5,hm_structured_sparse_matmul_kernel,l1tex__data_pipe_lsu_wavefronts_mem_shared.sum.pct_of_peak_sustained_elapsed,0.16
tfim_16_5,hm_structured_sparse_matmul_kernel,l1tex__t_bytes_pipe_lsu_mem_global_op_ld.sum,698591072
tfim_16_5,hm_structured_sparse_matmul_kernel,l1tex__t_requests_pipe_lsu_mem_global_op_red.sum,1972653
tfim_16_5,hm_structured_sparse_matmul_kernel,l1tex__t_sector_hit_rate.pct,44.76
tfim_16_5,hm_structured_sparse_matmul_kernel,launch__shared_mem_per_block_dynamic,0
tfim_16_5,hm_structured_sparse_matmul_kernel,launch__shared_mem_per_block_static,0
tfim_16_5,hm_structured_sparse_matmul_kernel,lts__t_sector_hit_rate.pct,78.04
tfim_16_5,hm_structured_sparse_matmul_kernel,smsp__sass_data_bytes_mem_shared_op_ld.sum,0
tfim_16_5,hm_structured_sparse_matmul_kernel,smsp__sass_data_bytes_mem_shared_op_ld.sum.per_second,0
tfim_16_5,hm_structured_sparse_matmul_kernel,smsp__sass_data_bytes_mem_shared_op_st.sum,0
tfim_16_5,hm_structured_sparse_matmul_kernel,smsp__sass_data_bytes_mem_shared_op_st.sum.per_second,0
tfim_16_5,void gather_meta_kernel,dram__bytes_read.sum,11640320
tfim_16_5,void gather_meta_kernel,l1tex__data_bank_conflicts_pipe_lsu_mem_shared_op_ld.sum,63936
tfim_16_5,void gather_meta_kernel,l1tex__data_bank_conflicts_pipe_lsu_mem_shared_op_st.sum,699
tfim_16_5,void gather_meta_kernel,l1tex__data_pipe_lsu_wavefronts_mem_shared.sum.pct_of_peak_sustained_elapsed,33.11
tfim_16_5,void gather_meta_kernel,l1tex__t_bytes_pipe_lsu_mem_global_op_ld.sum,634047456
tfim_16_5,void gather_meta_kernel,l1tex__t_requests_pipe_lsu_mem_global_op_red.sum,0
tfim_16_5,void gather_meta_kernel,l1tex__t_sector_hit_rate.pct,37.67
tfim_16_5,void gather_meta_kernel,launch__shared_mem_per_block_dynamic,0
tfim_16_5,void gather_meta_kernel,launch__shared_mem_per_block_static,8196
tfim_16_5,void gather_meta_kernel,lts__t_sector_hit_rate.pct,96.49
tfim_16_5,void gather_meta_kernel,smsp__sass_data_bytes_mem_shared_op_ld.sum,76773924
tfim_16_5,void gather_meta_kernel,smsp__sass_data_bytes_mem_shared_op_ld.sum.per_second,454391122159.09
tfim_16_5,void gather_meta_kernel,smsp__sass_data_bytes_mem_shared_op_st.sum,2342656
tfim_16_5,void gather_meta_kernel,smsp__sass_data_bytes_mem_shared_op_st.sum.per_second,13865151515.15
tfim_16_5,void gather_flat_kernel,dram__bytes_read.sum,12585216
tfim_16_5,void gather_flat_kernel,l1tex__data_bank_conflicts_pipe_lsu_mem_shared_op_ld.sum,142930
tfim_16_5,void gather_flat_kernel,l1tex__data_bank_conflicts_pipe_lsu_mem_shared_op_st.sum,932
tfim_16_5,void gather_flat_kernel,l1tex__data_pipe_lsu_wavefronts_mem_shared.sum.pct_of_peak_sustained_elapsed,22.98
tfim_16_5,void gather_flat_kernel,l1tex__t_bytes_pipe_lsu_mem_global_op_ld.sum,743021280
tfim_16_5,void gather_flat_kernel,l1tex__t_requests_pipe_lsu_mem_global_op_red.sum,0
tfim_16_5,void gather_flat_kernel,l1tex__t_sector_hit_rate.pct,45.20
tfim_16_5,void gather_flat_kernel,launch__shared_mem_per_block_dynamic,0
tfim_16_5,void gather_flat_kernel,launch__shared_mem_per_block_static,8192
tfim_16_5,void gather_flat_kernel,lts__t_sector_hit_rate.pct,96.12
tfim_16_5,void gather_flat_kernel,smsp__sass_data_bytes_mem_shared_op_ld.sum,75842084
tfim_16_5,void gather_flat_kernel,smsp__sass_data_bytes_mem_shared_op_ld.sum.per_second,285240717896.26
tfim_16_5,void gather_flat_kernel,smsp__sass_data_bytes_mem_shared_op_st.sum,7947968
tfim_16_5,void gather_flat_kernel,smsp__sass_data_bytes_mem_shared_op_st.sum.per_second,29892165122.16
tfim_16_5,void gather_flat_sym_kernel,dram__bytes_read.sum,4402432
tfim_16_5,void gather_flat_sym_kernel,l1tex__data_bank_conflicts_pipe_lsu_mem_shared_op_ld.sum,40421
tfim_16_5,void gather_flat_sym_kernel,l1tex__data_bank_conflicts_pipe_lsu_mem_shared_op_st.sum,195
tfim_16_5,void gather_flat_sym_kernel,l1tex__data_pipe_lsu_wavefronts_mem_shared.sum.pct_of_peak_sustained_elapsed,38.41
tfim_16_5,void gather_flat_sym_kernel,l1tex__t_bytes_pipe_lsu_mem_global_op_ld.sum,341558656
tfim_16_5,void gather_flat_sym_kernel,l1tex__t_requests_pipe_lsu_mem_global_op_red.sum,0
tfim_16_5,void gather_flat_sym_kernel,l1tex__t_sector_hit_rate.pct,49.09
tfim_16_5,void gather_flat_sym_kernel,launch__shared_mem_per_block_dynamic,0
tfim_16_5,void gather_flat_sym_kernel,launch__shared_mem_per_block_static,8192
tfim_16_5,void gather_flat_sym_kernel,lts__t_sector_hit_rate.pct,96.92
tfim_16_5,void gather_flat_sym_kernel,smsp__sass_data_bytes_mem_shared_op_ld.sum,38981928
tfim_16_5,void gather_flat_sym_kernel,smsp__sass_data_bytes_mem_shared_op_ld.sum.per_second,530568488675.96
tfim_16_5,void gather_flat_sym_kernel,smsp__sass_data_bytes_mem_shared_op_st.sum,1031008
tfim_16_5,void gather_flat_sym_kernel,smsp__sass_data_bytes_mem_shared_op_st.sum.per_second,14032665505.23
tfim_16_5,cuda_spmv_dia,dram__bytes_read.sum,8394240
tfim_16_5,cuda_spmv_dia,l1tex__data_bank_conflicts_pipe_lsu_mem_shared_op_ld.sum,0
tfim_16_5,cuda_spmv_dia,l1tex__data_bank_conflicts_pipe_lsu_mem_shared_op_st.sum,0
tfim_16_5,cuda_spmv_dia,l1tex__data_pipe_lsu_wavefronts_mem_shared.sum.pct_of_peak_sustained_elapsed,0.39
tfim_16_5,cuda_spmv_dia,l1tex__t_bytes_pipe_lsu_mem_global_op_ld.sum,19201792
