matrix,kernel,metric,value
qmaxcut_16_4,void gather_flat_sym_kernel,smsp__sass_data_bytes_mem_shared_op_ld.sum,16072524
qmaxcut_16_4,void gather_flat_sym_kernel,smsp__sass_data_bytes_mem_shared_op_ld.sum.per_second,446459000000
qmaxcut_16_4,void gather_flat_sym_kernel,smsp__sass_data_bytes_mem_shared_op_st.sum,541824
qmaxcut_16_4,void gather_flat_sym_kernel,smsp__sass_data_bytes_mem_shared_op_st.sum.per_second,15050666666.67
qmaxcut_16_4,cuda_spmv_dia,dram__bytes_read.sum,4725248
qmaxcut_16_4,cuda_spmv_dia,l1tex__data_bank_conflicts_pipe_lsu_mem_shared_op_ld.sum,0
qmaxcut_16_4,cuda_spmv_dia,l1tex__data_bank_conflicts_pipe_lsu_mem_shared_op_st.sum,0
qmaxcut_16_4,cuda_spmv_dia,l1tex__data_pipe_lsu_wavefronts_mem_shared.sum.pct_of_peak_sustained_elapsed,2.51
qmaxcut_16_4,cuda_spmv_dia,l1tex__t_bytes_pipe_lsu_mem_global_op_ld.sum,11337984
qmaxcut_16_4,cuda_spmv_dia,l1tex__t_requests_pipe_lsu_mem_global_op_red.sum,0
qmaxcut_16_4,cuda_spmv_dia,l1tex__t_sector_hit_rate.pct,37.06
qmaxcut_16_4,cuda_spmv_dia,launch__shared_mem_per_block_dynamic,0
qmaxcut_16_4,cuda_spmv_dia,launch__shared_mem_per_block_static,0
qmaxcut_16_4,cuda_spmv_dia,lts__t_sector_hit_rate.pct,34.01
qmaxcut_16_4,cuda_spmv_dia,smsp__sass_data_bytes_mem_shared_op_ld.sum,0
qmaxcut_16_4,cuda_spmv_dia,smsp__sass_data_bytes_mem_shared_op_ld.sum.per_second,0
qmaxcut_16_4,cuda_spmv_dia,smsp__sass_data_bytes_mem_shared_op_st.sum,0
qmaxcut_16_4,cuda_spmv_dia,smsp__sass_data_bytes_mem_shared_op_st.sum.per_second,0
O2_16_5,cuda_spmv_dia,dram__bytes_read.sum,260075776
O2_16_5,cuda_spmv_dia,l1tex__data_bank_conflicts_pipe_lsu_mem_shared_op_ld.sum,0
O2_16_5,cuda_spmv_dia,l1tex__data_bank_conflicts_pipe_lsu_mem_shared_op_st.sum,0
O2_16_5,cuda_spmv_dia,l1tex__data_pipe_lsu_wavefronts_mem_shared.sum.pct_of_peak_sustained_elapsed,1.60
O2_16_5,cuda_spmv_dia,l1tex__t_bytes_pipe_lsu_mem_global_op_ld.sum,682014080
O2_16_5,cuda_spmv_dia,l1tex__t_requests_pipe_lsu_mem_global_op_red.sum,0
O2_16_5,cuda_spmv_dia,l1tex__t_sector_hit_rate.pct,55.39
O2_16_5,cuda_spmv_dia,launch__shared_mem_per_block_dynamic,0
O2_16_5,cuda_spmv_dia,launch__shared_mem_per_block_static,0
O2_16_5,cuda_spmv_dia,lts__t_sector_hit_rate.pct,21.75
O2_16_5,cuda_spmv_dia,smsp__sass_data_bytes_mem_shared_op_ld.sum,0
O2_16_5,cuda_spmv_dia,smsp__sass_data_bytes_mem_shared_op_ld.sum.per_second,0
O2_16_5,cuda_spmv_dia,smsp__sass_data_bytes_mem_shared_op_st.sum,0
O2_16_5,cuda_spmv_dia,smsp__sass_data_bytes_mem_shared_op_st.sum.per_second,0
heis_16_5,spmv_csr_scalar,dram__bytes_read.sum,4987392
heis_16_5,spmv_csr_scalar,l1tex__data_bank_conflicts_pipe_lsu_mem_shared_op_ld.sum,0
heis_16_5,spmv_csr_scalar,l1tex__data_bank_conflicts_pipe_lsu_mem_shared_op_st.sum,0
heis_16_5,spmv_csr_scalar,l1tex__data_pipe_lsu_wavefronts_mem_shared.sum.pct_of_peak_sustained_elapsed,0.13
heis_16_5,spmv_csr_scalar,l1tex__t_bytes_pipe_lsu_mem_global_op_ld.sum,40105920
heis_16_5,spmv_csr_scalar,l1tex__t_requests_pipe_lsu_mem_global_op_red.sum,0
heis_16_5,spmv_csr_scalar,l1tex__t_sector_hit_rate.pct,84.39
heis_16_5,spmv_csr_scalar,launch__shared_mem_per_block_dynamic,0
heis_16_5,spmv_csr_scalar,launch__shared_mem_per_block_static,0
heis_16_5,spmv_csr_scalar,lts__t_sector_hit_rate.pct,36.60
heis_16_5,spmv_csr_scalar,smsp__sass_data_bytes_mem_shared_op_ld.sum,0
heis_16_5,spmv_csr_scalar,smsp__sass_data_bytes_mem_shared_op_ld.sum.per_second,0
heis_16_5,spmv_csr_scalar,smsp__sass_data_bytes_mem_shared_op_st.sum,0
heis_16_5,spmv_csr_scalar,smsp__sass_data_bytes_mem_shared_op_st.sum.per_second,0
tfim_16_5,spmv_csr_scalar,dram__bytes_read.sum,9443584
tfim_16_5,spmv_csr_scalar,l1tex__data_bank_conflicts_pipe_lsu_mem_shared_op_ld.sum,0
tfim_16_5,spmv_csr_scalar,l1tex__data_bank_conflicts_pipe_lsu_mem_shared_op_st.sum,0
tfim_16_5,spmv_csr_scalar,l1tex__data_pipe_lsu_wavefronts_mem_shared.sum.pct_of_peak_sustained_elapsed,0.12
tfim_16_5,spmv_csr_scalar,l1tex__t_bytes_pipe_lsu_mem_global_op_ld.sum,75956224
tfim_16_5,spmv_csr_scalar,l1tex__t_requests_pipe_lsu_mem_global_op_red.sum,0
tfim_16_5,spmv_csr_scalar,l1tex__t_sector_hit_rate.pct,84.68
tfim_16_5,spmv_csr_scalar,launch__shared_mem_per_block_dynamic,0
tfim_16_5,spmv_csr_scalar,launch__shared_mem_per_block_static,0
tfim_16_5,spmv_csr_scalar,lts__t_sector_hit_rate.pct,44.53
tfim_16_5,spmv_csr_scalar,smsp__sass_data_bytes_mem_shared_op_ld.sum,0
tfim_16_5,spmv_csr_scalar,smsp__sass_data_bytes_mem_shared_op_ld.sum.per_second,0
tfim_16_5,spmv_csr_scalar,smsp__sass_data_bytes_mem_shared_op_st.sum,0
tfim_16_5,spmv_csr_scalar,smsp__sass_data_bytes_mem_shared_op_st.sum.per_second,0
fermi_16_5,spmv_csr_scalar,dram__bytes_read.sum,4561664
fermi_16_5,spmv_csr_scalar,l1tex__data_bank_conflicts_pipe_lsu_mem_shared_op_ld.sum,0
fermi_16_5,spmv_csr_scalar,l1tex__data_bank_conflicts_pipe_lsu_mem_shared_op_st.sum,0
fermi_16_5,spmv_csr_scalar,l1tex__data_pipe_lsu_wavefronts_mem_shared.sum.pct_of_peak_sustained_elapsed,0.14
fermi_16_5,spmv_csr_scalar,l1tex__t_bytes_pipe_lsu_mem_global_op_ld.sum,35410528
fermi_16_5,spmv_csr_scalar,l1tex__t_requests_pipe_lsu_mem_global_op_red.sum,0
fermi_16_5,spmv_csr_scalar,l1tex__t_sector_hit_rate.pct,83.83
fermi_16_5,spmv_csr_scalar,launch__shared_mem_per_block_dynamic,0
fermi_16_5,spmv_csr_scalar,launch__shared_mem_per_block_static,0
fermi_16_5,spmv_csr_scalar,lts__t_sector_hit_rate.pct,35.39
fermi_16_5,spmv_csr_scalar,smsp__sass_data_bytes_mem_shared_op_ld.sum,0
fermi_16_5,spmv_csr_scalar,smsp__sass_data_bytes_mem_shared_op_ld.sum.per_second,0
fermi_16_5,spmv_csr_scalar,smsp__sass_data_bytes_mem_shared_op_st.sum,0
fermi_16_5,spmv_csr_scalar,smsp__sass_data_bytes_mem_shared_op_st.sum.per_second,0
qmaxcut_16_4,spmv_csr_scalar,dram__bytes_read.sum,4987136
qmaxcut_16_4,spmv_csr_scalar,l1tex__data_bank_conflicts_pipe_lsu_mem_shared_op_ld.sum,0
qmaxcut_16_4,spmv_csr_scalar,l1tex__data_bank_conflicts_pipe_lsu_mem_shared_op_st.sum,0
qmaxcut_16_4,spmv_csr_scalar,l1tex__data_pipe_lsu_wavefronts_mem_shared.sum.pct_of_peak_sustained_elapsed,0.13
qmaxcut_16_4,spmv_csr_scalar,l1tex__t_bytes_pipe_lsu_mem_global_op_ld.sum,40305472
qmaxcut_16_4,spmv_csr_scalar,l1tex__t_requests_pipe_lsu_mem_global_op_red.sum,0
qmaxcut_16_4,spmv_csr_scalar,l1tex__t_sector_hit_rate.pct,84.26
qmaxcut_16_4,spmv_csr_scalar,launch__shared_mem_per_block_dynamic,0
qmaxcut_16_4,spmv_csr_scalar,launch__shared_mem_per_block_static,0
qmaxcut_16_4,spmv_csr_scalar,lts__t_sector_hit_rate.pct,36.94
qmaxcut_16_4,spmv_csr_scalar,smsp__sass_data_bytes_mem_shared_op_ld.sum,0
qmaxcut_16_4,spmv_csr_scalar,smsp__sass_data_bytes_mem_shared_op_ld.sum.per_second,0
qmaxcut_16_4,spmv_csr_scalar,smsp__sass_data_bytes_mem_shared_op_st.sum,0
qmaxcut_16_4,spmv_csr_scalar,smsp__sass_data_bytes_mem_shared_op_st.sum.per_second,0
O2_16_5,spmv_csr_scalar,dram__bytes_read.sum,40185856
O2_16_5,spmv_csr_scalar,l1tex__data_bank_conflicts_pipe_lsu_mem_shared_op_ld.sum,0
O2_16_5,spmv_csr_scalar,l1tex__data_bank_conflicts_pipe_lsu_mem_shared_op_st.sum,0
O2_16_5,spmv_csr_scalar,l1tex__data_pipe_lsu_wavefronts_mem_shared.sum.pct_of_peak_sustained_elapsed,0.03
O2_16_5,spmv_csr_scalar,l1tex__t_bytes_pipe_lsu_mem_global_op_ld.sum,427662336
O2_16_5,spmv_csr_scalar,l1tex__t_requests_pipe_lsu_mem_global_op_red.sum,0
O2_16_5,spmv_csr_scalar,l1tex__t_sector_hit_rate.pct,84.89
O2_16_5,spmv_csr_scalar,launch__shared_mem_per_block_dynamic,0
O2_16_5,spmv_csr_scalar,launch__shared_mem_per_block_static,0
O2_16_5,spmv_csr_scalar,lts__t_sector_hit_rate.pct,64.68
O2_16_5,spmv_csr_scalar,smsp__sass_data_bytes_mem_shared_op_ld.sum,0
O2_16_5,spmv_csr_scalar,smsp__sass_data_bytes_mem_shared_op_ld.sum.per_second,0
O2_16_5,spmv_csr_scalar,smsp__sass_data_bytes_mem_shared_op_st.sum,0
O2_16_5,spmv_csr_scalar,smsp__sass_data_bytes_mem_shared_op_st.sum.per_second,0
