# 2026-08-02T20:27:09-04:00 A100 ENERGY sweep: ENERGYRAW,J_net,avg_W,idle_W,iters then the variant row it belongs to
== energy BH_20_7 ==
ENERGYRAW,3.459818e-02,298.0,75.5,39577
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/BH_20_7.txt,1048576,127,spmv,didx,481.609,9.984,0.151603,3243
ENERGYRAW,3.196820e-02,296.9,75.5,42800
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/BH_20_7.txt,1048576,127,spmv,didx_sym,191.173,36.732,0.140186,1626
ENERGYRAW,4.257118e-02,263.8,75.5,26561
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/BH_20_7.txt,1048576,127,spmv,gopt,336.410,22.724,0.225894,1590
ENERGYRAW,4.420850e-02,292.5,75.5,30398
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/BH_20_7.txt,1048576,127,spmv,cusparse_csr,726.048,16.210,0.197376,3761
ENERGYRAW,1.528628e+01,294.5,75.5,85
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/BH_20_7.txt,1048576,127,spmspm,ours_flat,67.831,4.589,69.809662,1
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/BH_20_7.txt,1048576,127,spmspm,ours_sym,24.960,16.555,-1.000000,-1
ENERGYRAW,7.735835e+00,298.2,75.5,172
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/BH_20_7.txt,1048576,127,spmspm,ours_sym,24.960,16.555,34.816612,1
ENERGYRAW,1.384874e+01,284.3,86.1,85
SPMSPMCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/BH_20_7.txt,1048576,127,5555,5108440242,ours_flat,69.834244,0.000e+00
ENERGYRAW,7.081211e+00,289.7,86.1,172
SPMSPMCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/BH_20_7.txt,1048576,127,5555,5108440242,ours_sym,34.765106,7.629e-06
SPMSPMCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/BH_20_7.txt,1048576,127,5555,5108440242,cusparse_spgemm,145.475449,-1.000e+00
== energy bhc_16_7 ==
ENERGYRAW,8.916784e-04,168.0,79.7,585937
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/bhc_16_7.txt,65536,99,spmv,didx,14.731,0.790,0.010240,1516
ENERGYRAW,1.049595e-03,191.3,79.7,623337
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/bhc_16_7.txt,65536,99,spmv,didx_sym,7.218,2.230,0.009626,982
ENERGYRAW,1.354575e-03,133.9,79.7,238185
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/bhc_16_7.txt,65536,99,spmv,gopt,18.126,1.668,0.025190,786
ENERGYRAW,1.661288e-03,134.9,79.7,198286
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/bhc_16_7.txt,65536,99,spmv,cusparse_csr,26.907,1.454,0.030259,937
ENERGYRAW,4.443023e-01,280.5,79.7,2711
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/bhc_16_7.txt,65536,99,spmspm,ours_flat,8.080,0.563,2.212506,4
ENERGYRAW,7.896281e-01,280.0,79.7,1522
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/bhc_16_7.txt,65536,99,spmspm,hm_atomic,65.822,3.018,3.941069,17
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/bhc_16_7.txt,65536,99,spmspm,ours_sym,1.015,3.605,-1.000000,-1
ENERGYRAW,2.094106e-01,298.5,79.7,6282
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/bhc_16_7.txt,65536,99,spmspm,ours_sym,1.015,3.605,0.955034,5
ENERGYRAW,4.181038e-01,282.1,93.2,2713
SPMSPMCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/bhc_16_7.txt,65536,99,3023,166182066,ours_flat,2.211482,0.000e+00
ENERGYRAW,1.948143e-01,297.2,93.2,6307
SPMSPMCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/bhc_16_7.txt,65536,99,3023,166182066,ours_sym,0.951245,7.629e-06
ENERGYRAW,7.734515e-01,289.3,93.2,1522
SPMSPMCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/bhc_16_7.txt,65536,99,3023,166182066,hm_atomic,3.941069,3.052e-05
